suburb_median,rooms,distance,bedrooms,bathrooms,cars,landsize,lattitude,longtitude,price
2150000,4,3.3,4,2,1,153,-37.8447,144.9523,2300000
2150000,3,3.3,3,2,1,132,-37.8415,144.952,1800000
2150000,2,3.3,2,1,1,199,-37.8422,144.9554,2120000
2150000,3,3.3,3,1,1,253,-37.8443,144.9579,1800000
2150000,3,3.3,3,2,1,90,-37.8421,144.9571,1800000
2150000,2,3.3,2,1,0,240,-37.8379,144.9539,1810000
2150000,3,3.3,3,2,1,177,-37.8415,144.9585,2615000
2150000,5,3.3,5,2,1,237,-37.8436,144.9557,2100000
2150000,3,3.3,3,1,0,129,-37.8422,144.949,1300000
2150000,3,3.3,3,2,2,0,-37.8451,144.9511,1370000
2150000,2,3.3,2,1,0,288,-37.8407,144.9523,1000000
2150000,3,3.3,3,2,1,228,-37.8445,144.9501,2575000
2150000,2,3.3,2,1,0,149,-37.8443,144.9481,1322500
2150000,2,3.3,2,1,0,141,-37.8424,144.9562,1562500
2150000,3,3.3,3,2,1,211,-37.847,144.9575,2000000
2150000,3,3.3,3,1,0,209,-37.8468,144.9546,1900000
2150000,3,3.3,3,2,0,147,-37.8473,144.9551,3010000
2150000,4,3.3,4,3,1,327,-37.8467,144.9475,2800000
2150000,3,3.3,2,1,1,120,-37.8427,144.9546,2100000
2150000,3,3.3,3,1,1,238,-37.8461,144.9528,2000000
2150000,4,3.3,4,2,1,330,-37.8477,144.9558,4735000
2150000,2,3.3,2,1,0,136,-37.846,144.9517,1340000
2150000,3,3.3,3,1,1,202,-37.8429,144.9493,1801000
2150000,3,3.3,3,3,1,0,-37.8415,144.9585,1532000
2150000,3,3.3,3,2,2,325,-37.8413,144.95,3755000
2150000,4,3.3,3,2,1,183,-37.8434,144.9495,2140000
2150000,2,3.3,2,1,1,162,-37.8416,144.9488,1750000
2150000,2,3.3,2,1,0,79,-37.8387,144.9519,980000
2150000,3,3.3,3,2,0,152,-37.8488,144.9551,2030000
2150000,3,3.3,3,2,2,147,-37.8448,144.9453,1740000
2150000,3,3.3,3,3,1,0,-37.8399,144.9577,2800000
2150000,1,3.3,1,1,0,81,-37.8411,144.9497,985000
1560000,4,6.4,3,2,4,853,-37.7707,145.0318,2000000
1560000,3,6.4,3,2,2,208,-37.7854,145.0325,1110000
1560000,3,6.4,3,2,2,411,-37.7713,145.0279,1492000
1560000,4,6.4,4,2,1,599,-37.7717,145.031,1717500
1560000,5,6.4,5,4,4,809,-37.775,145.0268,2840000
1560000,3,6.4,3,3,2,686,-37.78,145.0341,2000000
1560000,3,6.4,3,1,2,592,-37.7755,145.0288,1540000
1560000,4,6.4,4,2,2,606,-37.7743,145.0316,1830000
1560000,4,6.4,4,2,2,575,-37.7723,145.0319,2100000
1560000,3,6.4,3,1,1,180,-37.7802,145.0243,865000
1560000,3,6.4,3,1,2,979,-37.7792,145.029,1165000
1560000,4,6.4,4,2,2,556,-37.7844,145.0225,1900000
1560000,3,6.4,3,0,0,597,-37.7781,145.0284,1485000
1560000,4,6.4,4,2,3,589,-37.7719,145.0309,1950000
950000,3,13.8,3,2,1,352,-37.87,144.825,520000
950000,5,13.8,5,3,3,729,-37.8721,144.8105,1525000
950000,3,13.8,3,1,2,506,-37.8693,144.8375,1120000
950000,4,13.8,4,1,4,655,-37.868,144.8154,780000
950000,4,13.8,4,3,6,1057,-37.8681,144.819,1780000
950000,3,13.8,3,1,1,602,-37.8616,144.8116,660000
950000,3,13.8,3,1,1,530,-37.8594,144.817,683500
950000,3,13.8,3,1,4,777,-37.8697,144.8249,1335000
950000,4,13.8,4,2,2,695,-37.8733,144.8147,1070000
950000,4,13.8,4,1,2,745,-37.8658,144.8155,845000
950000,3,13.8,3,1,4,625,-37.8611,144.8114,635000
950000,3,13.8,3,1,2,606,-37.8608,144.8124,678000
950000,3,13.8,3,1,2,363,-37.8674,144.8375,712000
950000,3,13.8,3,2,2,534,-37.86,144.8245,840000
950000,3,13.8,3,1,2,724,-37.8672,144.817,980000
950000,3,13.8,3,3,1,577,-37.8699,144.8235,880000
950000,4,13.8,4,1,0,797,-37.8663,144.8387,1030000
950000,3,13.8,3,2,2,529,-37.8612,144.8247,753000
950000,2,13.8,2,2,1,675,-37.8653,144.8129,857000
950000,3,13.8,3,1,1,929,-37.8651,144.832,1500000
950000,3,13.8,3,1,4,697,-37.871,144.8075,900000
950000,3,13.8,3,1,2,604,-37.8631,144.8195,740000
950000,4,13.8,4,2,3,532,-37.8637,144.8365,931000
950000,2,13.8,2,1,1,154,-37.8646,144.8272,535600
828000,5,11.1,5,3,6,592,-37.8388,144.8567,1085000
828000,3,11.1,3,1,2,533,-37.8291,144.835,781000
828000,3,11.1,3,1,3,554,-37.8449,144.85,750000
828000,3,11.1,3,1,3,655,-37.8338,144.8562,1405000
828000,3,11.1,3,1,2,534,-37.8284,144.8355,683000
828000,3,11.1,3,1,3,540,-37.8267,144.8368,623000
828000,3,11.1,3,2,1,0,-37.8379,144.8583,720000
828000,3,11.1,3,1,1,328,-37.838,144.8555,588000
828000,3,11.1,3,1,3,540,-37.8294,144.8378,710000
828000,4,11.1,3,1,4,559,-37.8448,144.8529,875000
828000,3,11.1,3,1,3,554,-37.8449,144.85,700000
828000,4,11.1,4,1,4,558,-37.8451,144.8529,650000
828000,3,11.1,3,2,2,171,-37.8337,144.8554,675000
828000,3,11.1,3,1,2,585,-37.8258,144.8523,708000
828000,4,11.1,4,1,4,851,-37.8345,144.8444,965000
828000,3,11.1,3,1,3,551,-37.8254,144.8514,680000
828000,3,11.1,3,1,3,602,-37.8327,144.8451,770000
828000,3,11.1,3,1,2,740,-37.8269,144.8455,923000
828000,4,11.1,4,2,4,315,-37.8391,144.8467,693000
828000,3,11.1,5,2,2,276,-37.8262,144.8443,620000
828000,3,11.1,3,1,1,531,-37.8277,144.8385,728500
828000,3,11.1,3,2,1,590,-37.8382,144.8649,931000
828000,3,11.1,3,1,4,715,-37.8423,144.8632,988000
828000,3,11.1,3,1,2,561,-37.8444,144.8491,590000
828000,2,11.1,2,1,2,691,-37.834,144.8553,610000
828000,3,11.1,3,2,3,555,-37.8318,144.8388,815000
828000,4,11.1,4,1,2,708,-37.833,144.8494,970000
828000,4,11.1,4,1,3,668,-37.8262,144.8439,760000
828000,4,11.1,4,1,4,633,-37.8375,144.8541,1200000
828000,3,11.1,3,1,1,557,-37.8441,144.8505,700000
828000,3,11.1,3,1,1,536,-37.8285,144.8351,625000
2300000,3,6.3,3,2,2,296,-37.8614,145.0274,1939000
2300000,3,6.3,3,1,1,217,-37.8592,145.0182,1870000
2300000,3,6.3,3,2,1,205,-37.8574,145.0281,2050000
2300000,4,6.3,4,2,2,1581,-37.858,145.0111,3000000
2300000,5,6.3,8,2,2,693,-37.8638,145.0229,1525000
2300000,1,6.3,2,2,1,144,-37.8564,145.0228,1435000
2300000,2,6.3,2,2,2,0,-37.8537,145.0267,1780000
2300000,2,6.3,2,1,0,249,-37.8543,145.016,1210000
2300000,4,6.3,4,2,2,624,-37.8536,145.0173,2801000
2300000,3,6.3,3,2,2,405,-37.8545,145.0145,1800000
2300000,4,6.3,4,1,2,495,-37.8613,145.0264,2200000
2300000,6,6.3,5,3,4,1491,-37.8602,145.013,5525000
2300000,2,6.3,3,1,2,169,-37.851,145.0161,1125000
2300000,3,6.3,3,3,1,301,-37.8511,145.0167,2250000
2300000,3,6.3,3,2,0,336,-37.8558,145.015,2360000
2300000,2,6.3,2,2,0,207,-37.8571,145.0224,1900000
2300000,3,6.3,3,2,1,316,-37.8521,145.019,2365000
2300000,3,6.3,2,1,2,212,-37.8542,145.0149,1300000
2300000,3,6.3,3,1,2,328,-37.8559,145.0158,1900000
2300000,3,6.3,3,1,2,186,-37.8554,145.0173,1285000
2300000,4,6.3,4,3,2,421,-37.8593,145.0275,3660000
2300000,4,6.3,4,1,2,709,-37.8574,145.016,3625000
2300000,4,6.3,4,3,3,563,-37.8582,145.0138,4200000
2300000,3,6.3,3,2,2,617,-37.8557,145.0264,3512500
2300000,4,6.3,4,3,4,544,-37.8611,145.0195,2000000
2300000,5,6.3,5,2,2,617,-37.8611,145.0271,2810000
1185000,3,5.9,3,1,2,298,-37.7777,144.9195,940000
1185000,3,5.9,3,2,2,277,-37.7777,144.9221,1380000
1185000,4,5.9,4,3,1,478,-37.7729,144.9179,1850000
1185000,3,5.9,3,1,2,623,-37.7758,144.9089,1284000
1185000,3,5.9,3,2,2,285,-37.775,144.9091,971000
1185000,2,5.9,2,1,1,214,-37.7776,144.9142,710000
1185000,6,5.9,6,3,2,1014,-37.7721,144.9184,2425000
1185000,2,5.9,2,1,1,226,-37.7745,144.9093,750000
1185000,2,5.9,2,1,1,269,-37.7748,144.929,1053000
1185000,3,5.9,3,1,1,417,-37.7756,144.9208,1377000
1185000,3,5.9,3,1,2,350,-37.7759,144.91,970000
1185000,2,5.9,2,1,1,330,-37.773,144.9049,940000
1185000,2,5.9,2,1,1,118,-37.7807,144.9288,751000
1185000,2,5.9,2,1,1,173,-37.7731,144.9206,950000
1185000,3,5.9,4,1,2,594,-37.7819,144.9064,1230000
1185000,2,5.9,2,1,1,0,-37.7738,144.9345,636500
1185000,3,5.9,3,1,0,317,-37.7746,144.9112,910000
1185000,2,5.9,2,1,1,226,-37.7774,144.9186,770000
1185000,3,5.9,3,2,2,229,-37.7778,144.9065,960000
1185000,4,5.9,4,1,1,300,-37.7766,144.9143,890000
1185000,2,5.9,2,1,1,170,-37.7732,144.9206,965000
1185000,3,5.9,3,1,1,487,-37.7725,144.9146,1440000
1185000,2,5.9,2,1,0,255,-37.7825,144.9208,955000
1185000,3,5.9,3,1,2,431,-37.781,144.9207,801000
1185000,3,5.9,3,2,2,440,-37.7746,144.9031,1000000
1185000,3,5.9,3,2,2,532,-37.7737,144.904,1435000
1185000,3,5.9,3,2,2,495,-37.7821,144.9055,1425000
1185000,4,5.9,3,2,2,683,-37.775,144.932,1340000
1185000,3,5.9,3,1,1,263,-37.7753,144.9116,955000
1185000,4,5.9,4,2,5,559,-37.7791,144.9136,1100000
1185000,3,5.9,3,2,2,308,-37.7759,144.9338,1255000
1185000,4,5.9,4,3,2,562,-37.782,144.903,1640000
1185000,6,5.9,4,2,1,461,-37.78,144.9295,1430000
1185000,3,5.9,3,3,1,491,-37.7727,144.9136,940000
1185000,3,5.9,3,1,1,242,-37.7765,144.9114,890000
1185000,3,5.9,3,2,2,617,-37.7742,144.906,1180000
1185000,4,5.9,4,2,2,597,-37.7757,144.9088,1480000
1185000,2,5.9,2,1,1,387,-37.7734,144.9191,1150000
1185000,3,5.9,3,1,3,575,-37.7828,144.9049,1350000
1185000,5,5.9,5,2,2,521,-37.7778,144.9261,1905000
1185000,3,5.9,3,1,2,506,-37.7779,144.9133,1037500
1185000,2,5.9,2,1,1,325,-37.7722,144.9117,1010000
1185000,4,5.9,4,2,0,418,-37.7766,144.9187,1430000
1185000,3,5.9,3,1,2,414,-37.7766,144.9185,1291000
1185000,3,5.9,3,2,1,272,-37.7774,144.928,1130000
1185000,3,5.9,3,1,1,296,-37.777,144.9176,1135000
1185000,4,5.9,4,2,1,298,-37.7778,144.9131,950000
1185000,4,5.9,4,1,1,552,-37.7769,144.9138,1345000
1185000,3,5.9,3,2,2,416,-37.7727,144.9055,1381500
1185000,3,5.9,3,2,2,285,-37.7778,144.9061,940000
1185000,3,5.9,3,2,1,314,-37.7778,144.9042,995000
1185000,3,5.9,3,1,3,536,-37.7728,144.9076,1050000
1185000,3,5.9,3,2,1,576,-37.7816,144.9217,786000
1185000,2,5.9,2,1,3,252,-37.7825,144.9206,705000
1185000,2,5.9,2,1,1,124,-37.7807,144.9285,760000
1185000,4,5.9,4,2,1,349,-37.7775,144.913,1110000
1185000,4,5.9,4,1,4,664,-37.7765,144.9132,1300000
1185000,3,5.9,3,1,1,555,-37.7767,144.9125,1060000
1185000,3,5.9,3,2,2,459,-37.7767,144.9124,1410000
1185000,3,5.9,2,1,1,278,-37.7768,144.9223,1305000
1185000,3,5.9,3,2,1,254,-37.7738,144.9215,932500
1185000,3,5.9,3,1,0,216,-37.7792,144.9297,965000
1185000,3,5.9,3,1,1,452,-37.7762,144.9174,1215000
1185000,4,5.9,4,2,4,598,-37.7774,144.9104,1705000
1185000,3,5.9,2,1,1,194,-37.7756,144.921,970000
1185000,2,5.9,2,1,1,407,-37.7756,144.9105,925000
1812500,4,11,4,3,2,753,-37.8669,145.0767,2650000
1812500,3,11,3,2,2,599,-37.8673,145.0688,1670000
1812500,2,11,2,1,2,679,-37.869,145.0822,1575000
1812500,3,11,3,2,2,731,-37.8666,145.0676,1555000
1812500,3,11,3,3,2,276,-37.8699,145.0778,1100000
1812500,3,11,3,1,2,583,-37.8685,145.0786,1337000
1812500,8,11,9,7,4,1472,-37.8729,145.0788,2950000
1812500,4,11,4,2,1,681,-37.8612,145.0858,2215000
1812500,3,11,3,2,2,516,-37.8675,145.0668,1518000
1812500,3,11,3,1,2,806,-37.8695,145.084,1710000
1812500,3,11,3,1,3,780,-37.8599,145.0815,1655000
1812500,4,11,4,2,2,780,-37.86,145.0817,1550000
1812500,3,11,3,2,2,351,-37.8742,145.07,1662000
1812500,3,11,3,2,3,702,-37.8737,145.0695,1665000
1812500,2,11,2,1,2,704,-37.8745,145.0738,1445000
1812500,5,11,5,5,2,755,-37.8598,145.0796,3510000
1812500,3,11,3,1,2,545,-37.8605,145.0833,1500000
1812500,5,11,6,4,2,1075,-37.8714,145.073,2752000
1812500,3,11,3,2,2,710,-37.8653,145.0897,1500000
1812500,4,11,4,2,4,749,-37.8669,145.077,1800000
1812500,3,11,3,2,3,724,-37.8619,145.0879,1830000
1812500,3,11,3,1,1,605,-37.8703,145.0774,1415000
1812500,2,11,2,1,1,687,-37.872,145.0692,1440000
1812500,3,11,3,1,2,583,-37.8679,145.0781,1422000
1812500,5,11,5,3,4,700,-37.8724,145.0758,1600000
1812500,4,11,4,2,3,696,-37.8711,145.0746,1860000
1812500,4,11,4,2,2,514,-37.8664,145.0772,1790000
1812500,4,11,4,2,2,844,-37.8715,145.0688,1950000
1812500,3,11,3,1,2,637,-37.8645,145.0797,1600000
1812500,3,11,3,1,2,1063,-37.8752,145.0754,1320000
1812500,3,11,3,1,1,697,-37.8636,145.0903,1650000
1359000,2,12.2,2,1,1,583,-37.8693,145.1082,995000
1359000,3,12.2,3,1,1,842,-37.867,145.1092,1250000
1359000,4,12.2,4,3,2,372,-37.8716,145.0999,1200000
1359000,2,12.2,2,1,2,695,-37.8694,145.0944,1075000
1359000,4,12.2,2,2,2,621,-37.8647,145.1023,1500000
1359000,3,12.2,3,1,2,723,-37.8642,145.1109,1120000
1359000,3,12.2,3,2,4,400,-37.8675,145.106,761000
1359000,4,12.2,4,2,1,724,-37.8651,145.1109,1270000
1359000,4,12.2,4,2,2,526,-37.8661,145.1013,1510000
1359000,3,12.2,3,1,1,792,-37.864,145.0972,1365000
1359000,4,12.2,3,2,2,803,-37.8621,145.1126,1100000
1359000,4,12.2,4,3,2,724,-37.8651,145.1107,1415000
1359000,3,12.2,3,2,3,782,-37.8621,145.1021,1631000
1359000,4,12.2,4,2,1,593,-37.8655,145.096,1500000
1359000,3,12.2,2,1,2,772,-37.8707,145.1036,1060000
1359000,5,12.2,5,3,2,585,-37.8637,145.1024,1529500
1359000,3,12.2,3,1,1,557,-37.8671,145.1117,785000
1359000,4,12.2,4,2,2,766,-37.8629,145.1097,1240000
1359000,4,12.2,4,2,1,727,-37.8669,145.1106,1350000
1359000,2,12.2,2,1,1,586,-37.8683,145.1082,1110000
1359000,3,12.2,3,1,1,760,-37.858,145.1038,1305000
1359000,3,12.2,3,2,1,320,-37.87,145.1103,855000
1359000,3,12.2,3,2,2,839,-37.8614,145.1098,1200000
845500,3,10.5,3,1,1,593,-37.7677,144.8674,850000
845500,3,10.5,3,1,1,0,-37.7634,144.8611,750000
845500,3,10.5,3,1,2,542,-37.7706,144.8629,848000
845500,4,10.5,4,2,1,350,-37.7676,144.859,806000
845500,4,10.5,3,2,2,569,-37.7654,144.8655,1155000
845500,3,10.5,3,2,2,671,-37.7593,144.871,670000
845500,4,10.5,4,5,4,673,-37.7545,144.8736,1200000
845500,3,10.5,2,1,2,571,-37.7605,144.8581,636000
845500,3,10.5,3,1,2,570,-37.7591,144.8542,680000
845500,4,10.5,4,3,2,789,-37.7537,144.8729,1160000
845500,3,10.5,3,1,1,529,-37.7721,144.8576,750000
845500,3,10.5,3,1,1,550,-37.7632,144.8622,627500
845500,4,10.5,4,3,3,761,-37.7524,144.8714,950000
845500,4,10.5,4,3,3,1801,-37.7532,144.8766,1600000
845500,3,10.5,3,1,3,574,-37.7627,144.857,650000
845500,3,10.5,3,1,4,606,-37.752,144.854,725000
845500,3,10.5,3,1,1,177,-37.7664,144.8583,560500
845500,3,10.5,3,1,2,649,-37.758,144.86,615000
845500,3,10.5,3,1,3,704,-37.7681,144.8592,845000
845500,3,10.5,3,1,2,322,-37.7686,144.8576,585000
845500,3,10.5,3,1,2,766,-37.7522,144.8518,850000
845500,5,10.5,5,2,4,574,-37.7639,144.8615,850000
845500,3,10.5,3,1,1,581,-37.7691,144.8575,705000
845500,4,10.5,4,3,2,873,-37.7609,144.8639,1100000
845500,3,10.5,3,1,1,586,-37.7642,144.8603,892500
845500,3,10.5,3,1,2,588,-37.771,144.8586,695000
845500,2,10.5,2,1,1,220,-37.756,144.8641,522500
845500,4,10.5,4,2,2,554,-37.7649,144.8633,680000
845500,3,10.5,3,2,2,705,-37.766,144.8596,730000
845500,3,10.5,3,1,3,812,-37.765,144.8578,875000
845500,3,10.5,3,2,8,585,-37.751,144.8571,850000
845500,3,10.5,3,1,1,597,-37.7568,144.8572,635000
845500,4,10.5,4,2,2,589,-37.7573,144.8534,762000
845500,4,10.5,4,2,2,570,-37.7513,144.859,790000
845500,4,10.5,4,1,0,569,-37.7563,144.8601,605000
845500,3,10.5,3,2,2,593,-37.7607,144.8581,805000
845500,4,10.5,4,2,4,585,-37.757,144.8566,890000
845500,3,10.5,3,1,1,549,-37.7644,144.8575,795000
845500,3,10.5,4,2,1,582,-37.7584,144.8568,634000
845500,3,10.5,3,1,1,590,-37.7567,144.8572,642000
845500,3,10.5,3,2,3,638,-37.7546,144.8585,863000
845500,3,10.5,3,1,2,607,-37.7546,144.857,740000
1385500,4,6.6,3,2,1,244,-37.8668,144.9928,1819000
1385500,3,6.6,3,1,1,178,-37.8663,144.9948,1193000
1385500,2,6.6,2,1,0,159,-37.874,144.9933,981000
1385500,3,6.6,3,2,2,339,-37.872,144.9909,1690000
1385500,3,6.6,3,1,1,157,-37.8696,144.9925,1080000
2340000,2,9.7,2,1,1,659,-37.8094,145.0807,2100000
2340000,4,9.7,4,2,2,715,-37.811,145.0958,1800000
2340000,5,9.7,5,3,2,715,-37.8028,145.0768,2570000
2340000,4,9.7,4,2,2,744,-37.8147,145.0748,2400000
2340000,3,9.7,3,3,2,651,-37.8085,145.0764,2200000
2340000,5,9.7,5,5,2,651,-37.8071,145.0908,3250000
2340000,6,9.7,6,4,7,2051,-37.8051,145.1016,4000000
2340000,2,9.7,2,2,2,0,-37.8134,145.0972,1215000
2340000,5,9.7,5,3,2,600,-37.8061,145.0801,2250000
2340000,3,9.7,3,2,2,175,-37.8162,145.0771,1140000
2340000,3,9.7,3,2,1,853,-37.807,145.0635,2330000
2340000,5,9.7,5,3,2,678,-37.8048,145.0708,2800000
2340000,3,9.7,3,2,2,308,-37.8056,145.0788,1255000
2340000,2,9.7,3,1,1,1015,-37.8074,145.0826,1850000
2340000,3,9.7,3,1,1,188,-37.8065,145.065,700000
2340000,4,9.7,4,2,2,664,-37.8055,145.0699,2130000
2340000,2,9.7,2,1,1,0,-37.8162,145.0841,500000
2340000,3,9.7,3,2,2,699,-37.814,145.0966,2125000
2340000,4,9.7,3,2,2,577,-37.8032,145.0693,1800000
2340000,1,9.7,1,1,1,740,-37.8125,145.0775,390000
2340000,3,9.7,3,1,2,281,-37.8013,145.0652,905000
2340000,4,9.7,4,3,2,453,-37.8044,145.1006,1750000
2340000,4,9.7,4,3,4,1148,-37.8088,145.0991,3180000
2340000,5,9.7,5,3,2,678,-37.8063,145.0705,3600000
2340000,5,9.7,5,3,2,642,-37.8096,145.0735,2550000
2340000,4,9.7,4,2,4,935,-37.8157,145.0795,3270000
2340000,3,9.7,3,1,4,671,-37.8117,145.0775,1860000
2340000,4,9.7,4,3,2,674,-37.8068,145.0786,2730000
2340000,5,9.7,5,2,2,611,-37.8116,145.0789,2020000
2340000,4,9.7,3,1,2,832,-37.8068,145.0827,2250000
2340000,3,9.7,3,2,2,380,-37.8161,145.0772,1800000
2340000,3,9.7,3,1,2,651,-37.8036,145.0715,2120000
2340000,3,9.7,3,1,2,697,-37.8044,145.0853,1910000
2340000,5,9.7,5,5,2,671,-37.8025,145.0665,3000000
2340000,5,9.7,5,6,4,739,-37.8039,145.0714,3400000
2340000,4,9.7,4,2,2,752,-37.8149,145.0747,2188000
2340000,4,9.7,4,3,2,596,-37.815,145.076,2900000
2340000,4,9.7,4,3,2,1007,-37.8135,145.0995,3290000
2340000,5,9.7,4,3,2,674,-37.8095,145.0782,2665000
2340000,4,9.7,4,2,2,583,-37.8027,145.0694,1801000
2340000,4,9.7,4,2,1,685,-37.8056,145.071,2410000
2340000,4,9.7,4,2,1,842,-37.8054,145.0771,2275000
2340000,5,9.7,5,3,4,1468,-37.8131,145.1,2810000
2340000,4,9.7,3,1,2,739,-37.8039,145.0631,2000000
2340000,4,9.7,4,2,1,665,-37.8057,145.0825,1900000
2340000,3,9.7,3,2,1,706,-37.8161,145.0748,3401000
2340000,3,9.7,3,2,3,613,-37.8056,145.0688,1750000
2340000,5,9.7,5,4,3,1437,-37.8058,145.0882,4000000
2340000,5,9.7,5,3,2,715,-37.8028,145.0768,3020000
2340000,3,9.7,4,2,2,650,-37.8167,145.0797,2950000
2340000,5,9.7,4,2,2,981,-37.8058,145.0627,2450000
2340000,3,9.7,2,1,2,844,-37.8037,145.0636,1912000
2340000,5,9.7,5,7,6,0,-37.8049,145.0748,3900000
2340000,3,9.7,3,2,2,404,-37.8075,145.1011,1500000
2340000,3,9.7,3,1,1,607,-37.8058,145.0781,1850000
2340000,4,9.7,3,1,1,672,-37.8099,145.0792,1700000
2340000,2,9.7,2,0,0,1611,-37.8092,145.1016,1010000
1950000,3,9.2,3,2,1,778,-37.7939,145.0789,1500000
1950000,4,9.2,4,4,3,1135,-37.8014,145.0892,3230000
1950000,2,9.2,2,1,1,253,-37.7912,145.085,1080000
1950000,7,9.2,7,2,0,942,-37.7923,145.1029,1350000
1950000,4,9.2,4,2,2,647,-37.7917,145.0868,1905000
1950000,5,9.2,5,4,2,760,-37.7907,145.0907,3300000
1950000,4,9.2,4,2,2,642,-37.7988,145.0726,1900000
1950000,3,9.2,3,1,2,888,-37.8002,145.0949,2251000
1950000,4,9.2,4,2,2,750,-37.7906,145.0788,2205000
1950000,3,9.2,3,2,1,347,-37.7947,145.1035,1265000
1950000,3,9.2,3,1,3,772,-37.7938,145.0732,2000000
1950000,4,9.2,4,2,2,673,-37.7856,145.0918,1750000
1950000,3,9.2,3,1,2,665,-37.7862,145.0781,1450000
1950000,4,9.2,4,2,2,772,-37.7959,145.0787,2614000
1950000,4,9.2,4,2,3,736,-37.7944,145.1028,1825000
1950000,4,9.2,4,1,4,847,-37.7954,145.0838,2550000
1950000,4,9.2,4,2,1,546,-37.7863,145.0905,1570000
1950000,5,9.2,3,4,2,886,-37.804,145.0951,3250000
1950000,4,9.2,4,3,3,667,-37.7898,145.079,1750000
1950000,3,9.2,3,2,2,645,-37.7851,145.0957,1575000
1950000,6,9.2,4,2,2,724,-37.8021,145.0985,1505000
